kernel_id,gpu_target,category,file_name,source_path,algorithm_name,variant,line_count,byte_size,source_sha256,has_flags,flags_path,flags,requires_rdc_from_flags,requires_rdc,uses_cooperative_groups,uses_atomic_ops,uses_cache_pool,uses_compact_graph,uses_cusparse,includes
a100/centrality/eigenvector_centrality_f32_seg_mask,a100,centrality,eigenvector_centrality_f32_seg_mask.cu,cpp/src/aai/impl/a100/centrality/eigenvector_centrality_f32_seg_mask.cu,eigenvector_centrality_f32,seg_mask,366,10427,2c43964e17b0ba512b48c52e6bad6f15ecbaca2e3943becf93cac1015b797f45,True,cpp/src/aai/impl/a100/centrality/eigenvector_centrality_f32_seg_mask.cu.flags,--use_fast_math,False,False,False,True,True,True,False,cugraph/aai/algorithms.hpp;cuda_runtime.h;cub/cub.cuh;cstdint;cmath;algorithm
a100/centrality/eigenvector_centrality_f64,a100,centrality,eigenvector_centrality_f64.cu,cpp/src/aai/impl/a100/centrality/eigenvector_centrality_f64.cu,eigenvector_centrality_f64,base,237,7646,b3e4b0361f825963e6ee1583bb65cf5d9f944a44aca69b079ad5426148603a8c,False,,,False,False,False,True,True,True,True,cugraph/aai/algorithms.hpp;cuda_runtime.h;cusparse.h;cub/cub.cuh;cstdint
a100/centrality/eigenvector_centrality_f64_mask,a100,centrality,eigenvector_centrality_f64_mask.cu,cpp/src/aai/impl/a100/centrality/eigenvector_centrality_f64_mask.cu,eigenvector_centrality_f64,mask,400,13477,aa1c759feb9e7d889b5954d13486e24084e6c9347047b9852d42a4ff2e9df0e1,True,cpp/src/aai/impl/a100/centrality/eigenvector_centrality_f64_mask.cu.flags,--use_fast_math,False,False,False,True,True,True,True,cugraph/aai/algorithms.hpp;cuda_runtime.h;cusparse.h;cub/cub.cuh;cstdint;cmath
a100/centrality/eigenvector_centrality_f64_seg,a100,centrality,eigenvector_centrality_f64_seg.cu,cpp/src/aai/impl/a100/centrality/eigenvector_centrality_f64_seg.cu,eigenvector_centrality_f64,seg,312,8822,ca8b20210237d0cf24abdd18898c4211b611b61870e3d08f1b9fe18be216fca3,True,cpp/src/aai/impl/a100/centrality/eigenvector_centrality_f64_seg.cu.flags,--use_fast_math,False,False,False,True,True,True,True,cugraph/aai/algorithms.hpp;cuda_runtime.h;cusparse.h;cstdint;algorithm
a100/centrality/eigenvector_centrality_f64_seg_mask,a100,centrality,eigenvector_centrality_f64_seg_mask.cu,cpp/src/aai/impl/a100/centrality/eigenvector_centrality_f64_seg_mask.cu,eigenvector_centrality_f64,seg_mask,391,12482,b88796e0babdd357ce2309fe0cf2bfe709e4fc72459b33ed9818fa3de07bfc43,True,cpp/src/aai/impl/a100/centrality/eigenvector_centrality_f64_seg_mask.cu.flags,--use_fast_math --rdc=true,True,True,True,True,True,True,False,cugraph/aai/algorithms.hpp;cuda_runtime.h;cooperative_groups.h;cstdint;cstddef;cstring;math.h
a100/centrality/eigenvector_centrality_mask,a100,centrality,eigenvector_centrality_mask.cu,cpp/src/aai/impl/a100/centrality/eigenvector_centrality_mask.cu,eigenvector_centrality,mask,414,14657,31ddc0be70fc4a5fec611063cbfbbd9d71dac1bbe4a2f65e69735762e9b04af6,True,cpp/src/aai/impl/a100/centrality/eigenvector_centrality_mask.cu.flags,--use_fast_math,False,False,False,True,True,True,True,cugraph/aai/algorithms.hpp;cuda_runtime.h;cusparse.h;cub/cub.cuh;cstdint;algorithm
a100/centrality/eigenvector_centrality_seg,a100,centrality,eigenvector_centrality_seg.cu,cpp/src/aai/impl/a100/centrality/eigenvector_centrality_seg.cu,eigenvector_centrality,seg,335,9288,d835adfa9a2e745b999a3b0c015cd568162a5ac0f3c8d62dbd83a2d72487af6d,True,cpp/src/aai/impl/a100/centrality/eigenvector_centrality_seg.cu.flags,--use_fast_math,False,False,False,True,True,True,False,cugraph/aai/algorithms.hpp;cuda_runtime.h;cstdint;cub/block/block_reduce.cuh
a100/centrality/eigenvector_centrality_seg_mask,a100,centrality,eigenvector_centrality_seg_mask.cu,cpp/src/aai/impl/a100/centrality/eigenvector_centrality_seg_mask.cu,eigenvector_centrality,seg_mask,386,10751,cb6fbf6e982df46941d68429fa1dfee3fa5524151918e24804bb44de1f99bbaf,True,cpp/src/aai/impl/a100/centrality/eigenvector_centrality_seg_mask.cu.flags,--use_fast_math,False,False,False,True,True,True,False,cugraph/aai/algorithms.hpp;cuda_runtime.h;cub/cub.cuh;cstdint;cstddef;cmath
a100/centrality/katz_centrality,a100,centrality,katz_centrality.cu,cpp/src/aai/impl/a100/centrality/katz_centrality.cu,katz_centrality,base,380,11577,b72554fbce14b28bf91d147c79e0d5e67d9cdaf6c030f8665b90fe963eedb1aa,True,cpp/src/aai/impl/a100/centrality/katz_centrality.cu.flags,--use_fast_math,False,False,False,True,True,True,False,cugraph/aai/algorithms.hpp;cuda_runtime.h;cub/cub.cuh;cstdint;cmath
a100/centrality/katz_centrality_f32,a100,centrality,katz_centrality_f32.cu,cpp/src/aai/impl/a100/centrality/katz_centrality_f32.cu,katz_centrality_f32,base,296,9324,901267c1e01e6b7386e3180e34fcd40135aee2191fd5f14525fc82443c89b1f5,True,cpp/src/aai/impl/a100/centrality/katz_centrality_f32.cu.flags,--use_fast_math,False,False,False,True,True,True,True,cugraph/aai/algorithms.hpp;cuda_runtime.h;cusparse.h;cstdint;cmath;utility
